YEAR,MONTH,DAY,AVG CLEAR SKY FIREFLIES,AVG CLOUDY FIREFLIES,AVG RAINY FIREFLIES,AVG TEMP
2008,January,1,,,,
2008,January,2,,,,
2008,January,3,,,,
2008,January,4,,,,
2008,January,5,,,,
2008,January,6,,,,
2008,January,7,,,,
2008,January,8,,,,
2008,January,9,,,,
2008,January,10,,,,
2008,January,11,,,,
2008,January,12,,,,
2008,January,13,,,,
2008,January,14,,,,
2008,January,15,,,,
2008,January,16
2008,January,17
2008,January,18
2008,January,19
2008,January,20
2008,January,21
2008,January,22
2008,January,23
2008,January,24
2008,January,25
2008,January,26
2008,January,27
2008,January,28
2008,January,29
2008,January,30
2008,January,31
2008,February,1
2008,February,2
2008,February,3
2008,February,4
2008,February,5
2008,February,6
2008,February,7
2008,February,8
2008,February,9
2008,February,10
2008,February,11
2008,February,12
2008,February,13
2008,February,14
2008,February,15
2008,February,16
2008,February,17
2008,February,18
2008,February,19
2008,February,20
2008,February,21
2008,February,22
2008,February,23
2008,February,24
2008,February,25
2008,February,26
2008,February,27
2008,February,28
2008,February,29
2008,March,1
2008,March,2
2008,March,3
2008,March,4
2008,March,5
2008,March,6
2008,March,7
2008,March,8
2008,March,9
2008,March,10
2008,March,11
2008,March,12
2008,March,13
2008,March,14
2008,March,15
2008,March,16
2008,March,17
2008,March,18
2008,March,19
2008,March,20
2008,March,21
2008,March,22
2008,March,23
2008,March,24
2008,March,25
2008,March,26
2008,March,27
2008,March,28
2008,March,29
2008,March,30
2008,March,31
2008,April,1
2008,April,2
2008,April,3
2008,April,4
2008,April,5
2008,April,6
2008,April,7
2008,April,8
2008,April,9
2008,April,10
2008,April,11
2008,April,12
2008,April,13
2008,April,14
2008,April,15
2008,April,16
2008,April,17
2008,April,18
2008,April,19
2008,April,20
2008,April,21
2008,April,22
2008,April,23
2008,April,24
2008,April,25
2008,April,26
2008,April,27
2008,April,28
2008,April,29
2008,April,30
2008,May,1
2008,May,2
2008,May,3
2008,May,4
2008,May,5
2008,May,6
2008,May,7
2008,May,8
2008,May,9
2008,May,10
2008,May,11
2008,May,12
2008,May,13
2008,May,14
2008,May,15
2008,May,16
2008,May,17
2008,May,18
2008,May,19
2008,May,20
2008,May,21
2008,May,22
2008,May,23
2008,May,24
2008,May,25
2008,May,26
2008,May,27
2008,May,28
2008,May,29
2008,May,30
2008,May,31
2008,June,1
2008,June,2
2008,June,3
2008,June,4
2008,June,5
2008,June,6
2008,June,7
2008,June,8
2008,June,9
2008,June,10
2008,June,11
2008,June,12
2008,June,13
2008,June,14
